WhyDB Problem File,,,
,,,
,,,
Products,,,
,,,
Code,Category,Version,Price
c1,Chairs,Craftsman,84
c2,,Modern,63
c3,,Value,23
d1,Desks,Craftsman,142
d2,,Modrn,152
d4,,Value,63
,,,
,,,
,,,
product,Costs,,
c1,Raw Materials,10.23,
c2,Raw Materials,11.23,
c3,Raw Materials,9,
d1,Raw Materials,25,
d2 (increase in 2026),Raw Materials,26,
d3,Raw Materials,18$,
c1,Direct Labor,36,
c2,Direct Labor,20,
c3,Direct Labr,12,
d1,Direct Labor,80,
d2,Direct Labor,65$,
d3,Direct Labor,34,
,,,
,,,
,,,
sales,quarter,year,units
c1,1,2025,195
c2,1,2025,205
c3,1,2025,215
d1,1,2025,45
d2,1,2025,55
d3,1,2025,865
c1,1,2025,195
c2,1,2025,205
c3,1,2025,215
d1,,2025,45
d2,,2025,55
d3,,2025,865
c1,2,2025,180
c2,2,2025,190
c3,2,2025,200
d1,2,2025,30
d2,2,2025,40
d3,2,2025,850
c1,,,
c2,2,2025,180
c3,2,2025,190
d1,2,2025,200
d2,2,2025,30
d3,2,2025,40
c1,2,2025,850
c2,3,2025,165
c3,3,2025,175
d1,3,2025,185
d2,3,2025,15
d3,3,2025,25$
c1,3,2025,835
c2,3,2025,165
c3,3,2025,175
d1,3,2025,185
d2,3,2025,15
d3,3,2025,25
c1,3,2025,835
c2,3,2025,165
c3,4,2025,160
d1,4,2025,170
d2,4,2025,0
d3,4,2025,10
c1,4,2025,820
c2,4,2025,150
c3,4,2025,160
d1,4,2025,170
d2,4,2025,0
d3,4,2025,10
,4,2025,880
