building_type,central_ac_yn,sq_ft_first_floor,sq_ft_second_floor,bathrooms,bedrooms,year_sold,sale_price
OneFam,Y,916,910,1,4,2009,155000
OneFam,Y,1291,0,1,2,2008,173000
Duplex,N,1088,1040,2,4,2009,62500
OneFam,Y,662,662,1,3,2010,122000
OneFam,Y,967,0,1,2,2007,99900
OneFam,Y,1266,0,2,2,2008,159895
OneFam,Y,816,0,1,2,2009,58500
OneFam,Y,707,682,1,3,2009,135000
OneFam,Y,720,564,1,2,2009,110000
OneFam,N,442,228,1,2,2007,64000
OneFam,Y,664,624,1,3,2009,119000
OneFam,Y,687,671,1,3,2007,124500
OneFam,N,684,684,1,3,2006,114504
OneFam,N,796,0,1,2,2008,55000
OneFam,Y,816,0,1,2,2007,75200
OneFam,Y,1246,0,2,2,2008,187687
OneFam,Y,1266,0,2,2,2007,185485
OneFam,Y,866,0,1,2,2007,110500
OneFam,Y,818,406,1,3,2009,115000
OneFam,N,502,502,1,2,2006,105000
OneFam,Y,567,531,1,2,2007,148500
OneFam,Y,864,0,1,2,2009,99900
OneFam,Y,861,517,1,3,2009,128900
OneFam,N,693,0,1,2,2006,52500
OneFam,Y,729,0,1,2,2008,52000
OneFam,Y,774,0,1,3,2007,79000
OneFam,Y,704,0,1,2,2009,88750
OneFam,N,694,0,1,2,2007,90350
OneFam,Y,825,784,1,3,2008,127500
OneFam,Y,840,0,1,3,2007,87000
OneFam,Y,734,384,1,2,2006,116000
OneFam,Y,1478,0,2,2,2010,222000
OneFam,N,1022,0,1,2,2007,89500
OneFam,Y,936,0,1,2,2010,109500
OneFam,Y,848,672,1,3,2009,159434
OneFam,N,624,720,1,4,2008,98000
OneFam,Y,616,616,1,3,2007,114000
OneFam,Y,747,0,1,2,2010,80000
OneFam,Y,774,456,1,3,2006,121600
OneFam,N,1020,0,1,2,2006,64500
OneFam,Y,1157,687,1,3,2010,80400
OneFam,N,680,680,1,2,2008,111000
OneFam,Y,672,0,1,2,2008,64000
OneFam,Y,1196,0,1,2,2007,109900
OneFam,N,1296,0,2,2,2010,104000
OneFam,Y,453,453,1,2,2008,87000
OneFam,Y,755,755,1,3,2006,149000
OneFam,Y,1001,653,2,3,2009,137000
OneFam,N,765,0,1,2,2010,87000
OneFam,Y,1026,665,2,3,2010,127000
OneFam,Y,832,378,1,3,2008,124000
OneFam,Y,1013,0,1,3,2008,113000
OneFam,N,334,0,1,1,2007,39300
OneFam,N,666,0,1,2,2007,64500
OneFam,N,803,0,1,2,2007,87000
OneFam,N,889,551,1,3,2006,79000
OneFam,Y,1004,660,2,3,2006,159000
OneFam,Y,833,833,1,3,2008,161000
OneFam,Y,949,343,1,3,2008,108000
OneFam,N,671,378,1,2,2008,80900
