gender,yearsmarried,children,religiousness_5_is_very_and_1_is_anti,years_of_education,occupation_category_group,happiness_in_married_5_is_v_happy_and_1_is_v_unhappy,age_decade,has_affair,region,age
male,10,no,3,18,7,4,30,0,PA,30.2
female,4,no,4,14,6,4,20,0,SC,21.2
female,15,yes,1,12,1,4,30,0,NY,33.5
male,15,yes,5,18,6,5,50,0,Oh,56.4
male,0.75,no,2,17,6,3,20,0,PA,23.1
female,1.5,no,2,17,5,5,30,0,PA,39.9
female,0.75,no,2,12,1,3,20,0,NC,20.7
male,15,yes,2,14,4,4,50,0,NY,59.5
female,15,yes,4,16,1,2,30,0,NY,31.5
male,1.5,no,4,14,4,5,20,0,Oh,20
male,15,yes,2,20,7,2,30,0,NY,39.8
male,4,yes,4,18,6,4,20,0,PA,29.8
male,15,yes,5,17,6,4,40,0,Oh,40
female,1.5,no,2,17,5,4,20,0,PA,20.1
female,4,no,4,14,5,4,20,0,NY,21
female,15,yes,1,17,5,5,30,0,NY,35
female,15,yes,2,18,4,3,30,0,SC,35.7
female,0.75,no,3,16,5,4,20,0,SC,22.3
female,1.5,no,2,16,5,5,20,0,WV,24.2
female,10,yes,2,14,1,5,20,0,NY,21.1
female,1.5,no,2,16,5,5,20,0,WV,24.2
female,1.5,no,2,16,5,5,20,0,NY,29.8
female,10,yes,4,16,5,4,20,0,NY,23.8
female,10,yes,3,14,1,5,30,0,NY,35.5
male,4,yes,2,20,6,4,30,0,NY,37.2
female,1.5,no,2,18,5,5,20,0,WV,29.8
female,7,no,4,16,1,5,20,0,NY,25
male,15,yes,5,20,6,4,40,0,NY,48.3
male,4,yes,3,16,5,5,20,0,PA,28.9
female,4,yes,3,17,5,4,20,0,NC,27.5
male,15,yes,4,20,6,3,40,0,PA,49.7
female,1.5,no,3,16,5,5,20,0,Oh,29.4
male,0.417,no,4,17,6,4,20,0,NY,24.8
female,15,yes,5,14,5,4,40,0,NC,43.5
male,4,yes,1,18,6,4,30,0,NY,38.9
female,1.5,no,4,16,5,3,20,0,PA,27.2
female,15,yes,3,12,1,4,40,0,NY,49.8
female,4,no,4,17,5,5,20,0,PA,28.5
male,1.5,yes,1,14,3,5,20,0,Oh,29.8
female,0.75,no,3,16,1,5,20,0,NY,25.6
male,10,yes,5,20,6,5,30,0,NC,38.4
male,15,yes,5,18,6,3,50,0,WV,53.3
female,0.417,no,5,14,1,4,20,0,Oh,23.9
female,4,yes,2,18,6,1,20,0,PA,27.8
female,7,yes,5,17,5,3,30,0,PA,39.6
male,4,no,3,16,5,5,20,0,WV,27.4
female,7,yes,4,18,6,5,20,0,NY,22.3
female,15,yes,2,18,5,4,40,0,NY,43.3
male,1.5,yes,4,16,3,5,20,0,PA,28.9
male,15,yes,2,20,6,4,40,0,PA,46.1
female,0.75,no,5,14,3,5,20,0,NY,22.9
male,7,yes,2,20,6,4,30,0,Oh,30.7
male,4,yes,5,20,6,5,20,0,NY,22.2
male,10,yes,4,20,6,4,20,0,NY,25.4
male,4,no,1,18,5,5,20,0,PA,24.6
female,15,yes,4,14,3,1,30,0,PA,39.8
male,1.5,yes,5,16,4,4,20,0,SC,20.9
female,15,yes,4,17,1,5,30,0,NC,32.9
female,0.75,no,4,17,5,4,20,0,PA,25
male,10,yes,4,20,6,4,30,0,NY,33.1
female,15,yes,5,14,7,2,40,0,NC,48.2
male,10,yes,3,20,6,4,30,0,NY,39
female,0.75,no,2,16,5,5,20,0,WV,22.3
male,4,no,2,18,4,5,20,0,PA,26.5
male,7,no,4,20,6,4,30,0,PA,36.1
male,15,yes,2,17,3,5,40,0,SC,47.6
male,10,yes,4,20,6,4,30,0,SC,39.9
female,15,yes,3,17,6,5,40,0,PA,40.9
female,1.5,no,5,16,5,5,20,0,SC,25.4
female,1.5,no,2,16,6,4,20,0,NY,20.2
female,4,no,3,17,5,5,20,0,Oh,30
female,10,yes,5,14,4,5,30,0,Oh,32.7
female,0.125,no,2,12,5,5,20,0,PA,24.3
male,15,yes,4,14,4,3,40,0,PA,48.1
male,15,yes,1,14,5,5,30,0,PA,38.3
male,7,yes,4,16,5,5,20,0,PA,28.5
female,1.5,yes,3,16,5,5,20,0,NC,26.4
male,4,yes,3,17,6,5,20,0,PA,22.7
female,1.5,no,3,16,5,5,20,0,Oh,24.7
male,15,yes,2,14,7,2,50,0,NY,56.7
male,1.5,yes,3,18,6,5,10,0,NY,17.7
male,15,yes,4,20,6,5,50,0,PA,58.2
female,0.75,no,2,16,3,4,20,0,NY,29.6
male,4,no,4,17,3,3,40,0,PA,46.8
female,1.5,yes,4,12,1,5,20,0,NY,24.9
female,0.417,no,1,17,6,4,20,0,NY,29.5
female,15,yes,4,17,5,5,30,0,Oh,30.3
female,1.5,no,3,18,5,2,20,0,NC,26.8
female,1.5,yes,3,14,1,5,20,0,PA,27.3
female,15,yes,3,14,1,4,30,0,Oh,37.8
female,15,yes,4,14,3,4,30,0,Oh,38.6
male,10,yes,2,14,5,3,30,0,NY,37.8
male,10,yes,4,16,5,4,30,0,NC,31.7
male,15,yes,5,20,5,3,50,0,NY,54.3
male,0.417,no,1,16,3,4,20,0,WV,29.5
female,15,yes,5,14,1,5,40,0,Oh,41.3
male,15,yes,3,16,6,1,50,0,NY,59.2
male,10,yes,1,16,6,4,30,0,NC,35.1
male,15,yes,3,17,5,5,30,0,Oh,34.3
male,15,yes,4,20,6,5,30,0,SC,36.4
female,10,yes,5,14,1,5,20,0,PA,29
male,10,yes,2,18,6,4,30,0,NY,34
female,0.125,no,4,12,4,5,20,0,PA,22
male,15,yes,5,20,6,5,50,0,Oh,52.3
female,15,yes,4,18,6,4,30,0,NC,38.2
male,4,yes,4,14,6,4,20,0,PA,24.4
male,7,yes,4,18,5,4,20,0,PA,22.6
male,15,yes,4,20,5,4,50,0,PA,55.2
male,15,yes,3,14,6,3,30,0,NC,33.9
female,1.5,no,2,14,5,4,20,0,PA,22.1
female,7,yes,4,17,1,5,30,0,NY,32.9
female,15,yes,4,17,6,5,30,0,NY,39.2
female,1.5,no,5,18,5,5,30,0,WV,36.7
male,10,yes,5,20,7,4,40,0,Oh,48.4
female,7,no,3,16,5,4,20,0,PA,23.8
male,15,no,4,20,6,5,30,0,NY,38.1
male,15,yes,4,14,3,2,30,0,WV,34.7
male,10,no,5,18,6,4,30,0,PA,39.7
female,0.75,no,4,16,1,5,20,0,PA,21.8
female,7,yes,4,12,2,4,20,0,Oh,23.4
female,7,yes,2,16,2,5,20,0,PA,20.8
female,15,yes,5,18,5,4,40,0,Oh,47.9
male,15,yes,4,17,5,3,40,0,Oh,40.5
female,7,yes,2,16,1,2,20,0,NY,30
female,1.5,no,3,16,5,5,20,0,NC,24.8
male,15,yes,5,20,6,5,30,0,PA,36.2
female,0.125,no,2,14,4,5,20,0,SC,22.5
male,1.5,no,4,16,5,5,20,0,SC,20.5
male,1.5,no,2,18,6,5,30,0,NC,31.2
male,1.5,no,2,17,6,5,20,0,SC,29.2
female,10,yes,4,16,1,3,20,0,Oh,23.9
male,15,yes,4,18,6,5,40,0,NC,49.2
female,1.5,no,2,16,6,5,20,0,NY,26.6
male,4,no,2,18,6,3,20,0,NY,21
female,10,yes,3,14,5,3,30,0,NY,38.3
female,15,yes,3,18,5,4,30,0,NY,37
female,0.75,no,2,18,6,5,20,0,NY,26.7
female,15,yes,2,16,1,4,30,0,NY,37.9
male,4,yes,4,20,5,5,20,0,PA,23.2
male,4,no,1,20,5,4,20,0,NY,22.5
female,10,yes,2,12,1,4,20,0,NY,22.3
female,15,yes,5,18,6,4,30,0,PA,35.5
male,7,yes,5,12,5,3,20,0,Oh,21.7
male,15,yes,2,18,5,4,50,0,NC,52
male,4,no,3,20,6,3,20,0,NY,22.9
male,4,yes,1,18,5,4,30,0,NY,37.4
male,4,yes,4,14,5,4,20,0,NY,25.2
female,15,yes,5,12,1,3,50,0,NY,58.3
female,15,yes,4,16,6,4,50,0,NY,50.2
male,7,yes,1,16,5,4,20,0,Oh,25
male,7,yes,4,20,6,3,30,0,SC,38.2
male,0.75,no,2,14,4,3,20,0,PA,20.8
male,4,yes,2,18,5,3,30,0,NC,33.6
male,15,yes,4,20,6,3,30,0,PA,34
male,0.75,yes,2,14,4,3,20,0,PA,27.4
male,15,yes,4,20,6,3,40,0,WV,48.8
female,15,yes,5,17,1,1,50,0,PA,54.8
female,15,yes,4,14,1,2,30,0,NY,34.7
male,7,yes,4,14,5,3,20,0,PA,21
male,4,yes,2,16,5,5,30,0,NY,36.7
female,4,yes,2,18,6,5,20,0,PA,24.4
female,4,yes,2,18,5,5,20,0,Oh,21
male,15,yes,5,18,6,5,30,0,PA,39.3
female,15,yes,5,12,5,4,40,0,NY,45.7
female,10,yes,3,17,1,4,30,0,NC,38.1
female,1.5,yes,4,17,1,2,20,0,Oh,29.1
female,15,yes,2,18,5,2,50,0,Oh,55.1
female,1.5,no,4,14,5,4,20,0,PA,25.8
male,15,yes,3,14,3,4,40,0,PA,46.4
male,15,yes,4,9,2,2,50,0,PA,58.9
male,15,yes,4,20,6,5,50,0,NY,59.7
female,0.125,no,4,14,4,5,20,0,NC,29.8
female,10,yes,4,14,1,5,30,0,PA,32.2
female,15,yes,3,18,5,4,40,0,Oh,41.2
female,1.5,no,2,18,6,5,20,0,Oh,23.5
male,0.125,yes,2,18,5,2,30,0,PA,30.7
female,4,no,3,16,5,4,20,0,PA,29.3
female,10,yes,2,16,1,4,20,0,NC,22
female,7,yes,4,16,1,3,30,0,WV,39
female,15,yes,4,14,5,4,30,0,PA,37.9
female,15,yes,5,17,6,2,40,0,Oh,41.3
male,1.5,yes,4,14,6,5,30,0,PA,38.9
female,4,yes,3,17,5,3,30,0,NY,36.2
female,7,no,4,18,5,5,30,0,WV,35.2
female,0.417,yes,3,14,3,5,20,0,PA,25.3
female,7,yes,4,14,1,5,20,0,PA,21.8
male,0.75,no,3,16,5,5,20,0,NY,27.6
male,4,yes,2,20,5,5,20,0,PA,22.4
male,10,yes,4,16,4,5,30,0,PA,36.4
male,15,yes,1,14,5,5,30,0,NY,39.4
male,0.75,no,3,17,4,5,20,0,NC,27.8
female,7,yes,4,17,1,4,20,0,WV,26.4
male,0.417,yes,4,20,5,4,20,0,WV,26.2
male,15,yes,4,20,5,4,30,0,WV,35.1
female,15,yes,2,14,1,3,30,0,PA,38.7
male,4,yes,1,18,5,4,20,0,PA,20
male,15,yes,4,17,5,3,30,0,SC,35.7
female,1.5,no,2,14,4,5,20,0,Oh,28.4
male,15,yes,4,14,6,2,50,0,NC,56.6
female,1.5,no,4,17,5,5,20,0,WV,28.3
male,4,yes,5,14,3,5,30,0,PA,31.1
male,4,yes,2,14,3,5,30,0,Oh,38.2
female,1.5,no,3,16,6,5,20,0,PA,27.3
male,0.75,no,2,18,3,3,20,0,SC,28.9
female,7,yes,2,14,5,2,20,0,WV,25.1
female,0.75,no,2,17,5,3,20,0,NY,23.2
female,15,yes,4,12,1,2,30,0,NC,39.3
female,1.5,no,1,14,1,5,20,0,NY,29.4
female,10,no,2,12,4,4,30,0,NC,33.5
female,15,yes,4,18,5,3,30,0,PA,38.6
female,15,yes,3,12,3,3,40,0,SC,40.1
male,4,no,2,18,5,5,20,0,PA,26.6
male,7,yes,2,20,6,2,50,0,WV,54.9
male,0.75,no,2,17,5,5,20,0,Oh,23.3
female,4,no,2,17,4,5,20,0,NY,21.7
male,1.5,no,5,20,6,5,40,0,PA,49.4
male,1.5,no,4,17,6,5,20,0,WV,24.5
male,4,no,4,17,5,3,20,0,NY,24.9
female,4,yes,1,14,5,4,20,0,PA,28.1
male,15,yes,5,20,4,5,30,0,SC,37
female,10,yes,3,16,6,3,30,0,NY,40
male,15,yes,4,17,6,5,40,0,WV,46.3
female,15,yes,4,17,5,5,40,0,SC,44.7
male,1.5,no,4,16,5,4,20,0,Oh,24.1
female,10,yes,3,12,1,4,30,0,PA,35.2
female,7,yes,1,14,3,5,20,0,NC,22.5
female,10,yes,4,17,5,4,30,0,WV,33.7
male,1.5,yes,2,16,2,4,20,0,Oh,28.3
male,15,yes,4,14,5,5,30,0,WV,30.5
male,4,yes,3,14,4,5,40,0,Oh,44.2
female,15,yes,5,14,5,4,30,0,SC,36.9
female,7,yes,4,17,5,5,30,0,WV,38.1
female,15,yes,4,18,6,5,40,0,PA,49.1
male,4,no,4,18,6,4,20,0,PA,20
male,0.75,no,4,18,6,5,20,0,NC,23.5
male,4,yes,4,14,5,3,20,0,PA,21.6
female,0.75,no,5,18,1,5,20,0,NY,29.4
female,15,yes,5,9,5,5,50,0,PA,54.5
male,10,yes,3,14,5,5,30,0,PA,30.4
female,15,yes,4,16,4,4,30,0,NY,32.6
male,7,yes,2,20,5,4,30,0,Oh,37.8
female,15,yes,3,18,1,4,40,0,NY,49.9
male,15,yes,1,16,5,5,30,0,PA,36.9
male,4,yes,3,18,5,5,20,0,NC,28.2
female,15,yes,4,12,3,4,30,0,PA,37.3
male,0.75,yes,3,14,2,4,20,0,Oh,20.8
female,1.5,no,3,16,5,3,20,0,PA,27.7
female,15,yes,4,14,3,5,40,0,Oh,48.6
female,15,yes,3,16,5,4,50,0,PA,58.7
male,15,yes,5,20,6,4,30,0,PA,32.1
female,15,yes,4,12,2,3,40,0,Oh,43.9
male,15,yes,2,20,6,4,50,0,PA,59.3
male,7,yes,4,17,5,5,30,0,PA,32.3
female,7,yes,4,17,1,4,20,0,NY,23.6
male,1.5,no,1,18,6,5,20,0,WV,24.6
female,4,yes,3,9,1,4,20,0,NC,21.7
female,1.5,no,2,14,1,5,20,0,PA,20.2
male,15,yes,2,20,6,4,40,0,SC,48.3
male,15,yes,4,9,2,4,50,0,PA,53.8
female,7,yes,2,18,1,5,20,0,PA,29.5
female,4,yes,3,14,1,5,20,0,NY,23.4
male,15,yes,4,14,5,3,30,0,PA,33.5
male,7,yes,1,18,6,4,30,0,NY,39.6
female,1.5,no,2,14,5,5,20,0,PA,23
female,1.5,yes,3,12,1,3,20,0,PA,23.7
male,15,yes,2,14,5,5,50,0,Oh,55.2
female,15,yes,2,14,1,1,30,0,Oh,34.5
female,10,yes,2,14,5,5,30,0,NY,38
male,15,yes,4,20,4,5,40,0,PA,46.2
female,4,yes,3,18,4,5,20,0,Oh,24.7
male,15,yes,4,20,6,5,30,0,NY,34.3
male,1.5,no,3,18,5,5,20,0,WV,27.4
female,0.125,no,2,16,6,3,20,0,WV,27.3
male,10,yes,2,20,6,3,30,0,PA,39.3
female,4,no,4,18,5,4,20,0,PA,29
female,7,yes,2,12,5,1,20,0,NY,20.3
male,4,yes,5,18,6,3,30,0,PA,30.2
female,15,yes,2,17,5,5,30,0,NY,35.2
male,15,no,4,20,6,4,40,0,Oh,47.6
male,1.5,no,1,18,5,5,20,0,PA,29.2
male,15,yes,4,20,6,4,30,0,NY,35.2
female,15,yes,4,18,1,4,30,0,PA,30.7
female,7,yes,4,17,5,4,30,0,PA,31.3
female,15,yes,3,14,1,3,40,0,NY,48.7
female,7,yes,3,16,1,4,20,0,PA,29.6
male,1.5,no,3,16,4,2,20,0,PA,27.8
male,1.5,no,3,16,3,5,20,0,Oh,29.9
male,4,yes,3,16,4,2,20,0,NY,27.4
female,7,yes,3,12,1,2,20,0,NY,27
female,15,yes,2,18,5,4,30,0,NY,30.7
female,7,yes,3,14,4,4,30,0,WV,35.2
male,1.5,no,2,16,5,5,20,0,PA,20.6
male,15,yes,5,20,5,4,30,0,WV,34
