https://worldpopulationreview.com/states,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
statename,religious_adults_rate,democratic_votes_rate,life_expectancy,republican_votes_rate,education_hs_or_over_rate,education_bs_or_over_rate,people_in_poverty,smoking_rate,total_guns,married_rate,divorced_rate,widowed_rate,separated_rate,never_married_rate,obesity_rate,population_in_2021,median_age
Alabama,0.77,0.370886252,73.2,0.629113748,86.9,26.2,762642,20.2,161641,48,12.2,6.9,2.1,30.8,36.1,5048733,39.2
Alaska,0.45,0.447381513,76.6,0.552618487,93.1,30,74369,17.4,15824,49.2,11.4,4,1.8,33.7,30.5,735707,34.6
Arizona,0.53,0.501568317,76.3,0.498431683,87.9,30.3,990528,14.9,179738,47.2,12.2,5.5,1.7,33.4,31.4,7227450,37.9
Arkansas,0.7,0.357875667,73.8,0.642124333,87.2,23.8,470190,20.2,79841,49.7,12.9,6.9,2.2,28.2,37.4,3021085,38.3
California,0.49,0.649089114,79,0.350910886,83.9,34.7,4853434,10,344622,46.8,9.2,4.9,1.9,37.1,26.3,39766650,36.7
Colorado,0.47,0.569383195,78.3,0.430616805,92.1,41.6,544232,13.5,92435,49.8,11.9,4.3,1.4,32.6,23.8,5848166,36.9
Connecticut,0.43,0.601950491,78.4,0.398049509,90.9,40,339156,12.1,82400,47.8,10.5,5.7,1.2,34.8,29.1,3609129,41.1
Delaware,0.52,0.596267442,76.7,0.403732558,90.6,32.7,107641,15.9,4852,47.8,11.2,6.1,1.6,33.4,34.4,999149,41
Florida,0.54,0.483052453,77.5,0.516947547,88.5,30.5,2772939,14.8,343288,46.5,13,6.8,2.1,31.5,27,21811875,42.2
Georgia,0.66,0.501193297,75.6,0.498806703,87.9,32.2,1461572,16.3,190050,46.8,11.2,5.4,2.1,34.5,33.1,10814334,36.9
Hawaii,0.47,0.650326646,80.7,0.349673354,92.5,33.6,127971,12.3,7859,49.8,9.1,6.3,1.3,33.5,25,1464768,39.4
Idaho,0.51,0.341228571,78.4,0.658771429,91.3,28.7,205676,15.3,49566,54.9,12,5,1.1,27,29.5,1866258,36.6
Illinois,0.51,0.586590437,76.8,0.413409563,89.7,35.5,1488670,14.5,146487,47.7,9.7,5.8,1.5,35.2,31.6,12810696,38.3
Indiana,0.54,0.418049354,75,0.581950646,89.3,27.2,838149,19.2,114019,48.9,12.3,5.9,1.3,31.5,35.3,6815701,37.8
