,Population Number,Households Number,"Over 15, and never married","Over 15, and divorced",Number of women 15 to 50 years old who had a birth in the past 12 months,Number of grandparents living with own grandchildren under 18 years,Bachelor's degree or higher,Civilian veterans,Residence a year ago - Different state,Residence a year ago - Abroad,Born in United States State of residence,Born in United States but Different state,Foreign born,LANGUAGE SPOKEN AT HOME English only,LANGUAGE SPOKEN AT HOME Language other than English,Total households With a computer,Total households With a broadband Internet subscription,Average household size,Average family size
Alabama,5039877,1967559,0.3185,0.1215,55593,112786,0.274,0.081,0.023,0.003,0.689,0.267,0.035,0.949,0.051,0.927,0.85,2.5,3.15
Alaska,732673,271311,0.334,0.1135,8677,17298,0.328,0.11,0.043,0.005,0.437,0.46,0.081,0.842,0.158,0.962,0.907,2.61,3.25
Arizona,7276316,2817723,0.3315,0.116,83599,155145,0.324,0.081,0.037,0.005,0.4,0.46,0.126,0.739,0.261,0.961,0.914,2.53,3.08
Arkansas,3025891,1183675,0.2925,0.1325,36729,70569,0.253,0.077,0.025,0.002,0.615,0.33,0.047,0.925,0.075,0.926,0.855,2.49,3.07
California,39237836,13429063,0.3825,0.088,458334,1076426,0.362,0.044,0.011,0.005,0.567,0.152,0.266,0.561,0.439,0.966,0.929,2.86,3.44
Colorado,5812069,2313042,0.332,0.111,62000,97967,0.444,0.077,0.043,0.005,0.415,0.471,0.098,0.838,0.162,0.97,0.93,2.46,3.05
Connecticut,3605597,1428313,0.3595,0.103,38771,58447,0.421,0.049,0.03,0.005,0.534,0.276,0.152,0.772,0.228,0.953,0.922,2.45,3.04
Delaware,1003384,395656,0.342,0.098,11651,23866,0.356,0.07,0.043,0.005,0.427,0.455,0.101,0.853,0.147,0.959,0.919,2.47,3.06
District of Columbia,670050,319565,0.553,0.0925,7874,9807,0.63,0.036,0.087,0.011,0.35,0.493,0.133,0.826,0.174,0.964,0.901,1.98,3.03
Florida,21781128,8565329,0.317,0.125,211115,465523,0.332,0.078,0.031,0.006,0.359,0.39,0.212,0.7,0.3,0.962,0.905,2.49,3.07
Georgia,10799566,4001109,0.353,0.1125,138093,256372,0.346,0.073,0.028,0.003,0.541,0.343,0.1,0.856,0.144,0.953,0.9,2.64,3.23
Hawaii,1441553,490080,0.34,0.0945,18482,51641,0.353,0.08,0.05,0.009,0.517,0.267,0.188,0.742,0.258,0.955,0.913,2.86,3.41
Idaho,1900923,693882,0.274,0.1195,23087,35702,0.307,0.086,0.051,0.003,0.441,0.489,0.061,0.889,0.111,0.954,0.905,2.7,3.21
Illinois,12671469,4991641,0.361,0.096,147999,218510,0.371,0.05,0.016,0.004,0.669,0.176,0.142,0.767,0.233,0.948,0.898,2.48,3.15
Indiana,6805985,2680694,0.3145,0.1255,86099,119103,0.289,0.064,0.023,0.003,0.675,0.262,0.056,0.907,0.093,0.943,0.893,2.47,3.07
Iowa,3193079,1300467,0.317,0.105,38050,34400,0.305,0.066,0.024,0.003,0.706,0.232,0.054,0.914,0.086,0.942,0.883,2.38,2.99
Kansas,2934582,1159026,0.3065,0.1105,39053,41490,0.354,0.067,0.035,0.005,0.591,0.329,0.069,0.884,0.116,0.952,0.898,2.47,3.08
Kentucky,4509394,1785682,0.3,0.1255,53246,95973,0.27,0.068,0.024,0.003,0.681,0.271,0.04,0.941,0.059,0.927,0.871,2.46,3.04
Louisiana,4624047,1783924,0.3645,0.1165,59760,99848,0.264,0.063,0.018,0.004,0.78,0.17,0.043,0.926,0.074,0.923,0.854,2.52,3.19
Maine,1372247,593626,0.2865,0.131,15853,16706,0.36,0.088,0.032,0.002,0.599,0.35,0.041,0.942,0.058,0.946,0.898,2.25,2.79
Maryland,6165129,2355652,0.357,0.097,76893,133070,0.425,0.07,0.026,0.005,0.472,0.353,0.159,0.796,0.204,0.963,0.918,2.56,3.16
Massachusetts,6984723,2759018,0.376,0.092,75136,123065,0.466,0.042,0.023,0.007,0.591,0.203,0.176,0.755,0.245,0.952,0.922,2.44,3.04
Michigan,10050811,4051798,0.3395,0.115,117076,161356,0.317,0.06,0.014,0.003,0.765,0.158,0.068,0.901,0.099,0.946,0.9,2.43,3.05
Minnesota,5707390,2281033,0.333,0.1015,70191,65382,0.389,0.061,0.017,0.003,0.672,0.234,0.085,0.88,0.12,0.955,0.913,2.45,3.05
Mississippi,2949965,1129611,0.3465,0.115,36472,68907,0.248,0.069,0.02,0.003,0.71,0.262,0.021,0.962,0.038,0.915,0.818,2.54,3.17
Missouri,6168187,2468726,0.311,0.118,72654,96004,0.317,0.075,0.027,0.003,0.662,0.29,0.041,0.94,0.06,0.943,0.885,2.43,3.06
Montana,1104271,448949,0.3055,0.119,12284,12998,0.348,0.094,0.041,0.004,0.521,0.449,0.022,0.961,0.039,0.942,0.888,2.4,2.99
Nebraska,1963692,785982,0.312,0.1045,27391,23471,0.344,0.074,0.022,0.005,0.644,0.274,0.074,0.884,0.116,0.948,0.898,2.44,3.07
Nevada,3143991,1191380,0.3495,0.128,37252,78784,0.276,0.079,0.043,0.004,0.273,0.524,0.184,0.717,0.283,0.963,0.905,2.61,3.22
New Hampshire,1388992,548026,0.3065,0.1165,13913,22622,0.402,0.078,0.039,0.002,0.414,0.515,0.059,0.923,0.077,0.96,0.923,2.46,2.96
New Jersey,9267130,3497945,0.3445,0.085,110927,174023,0.431,0.039,0.021,0.006,0.512,0.232,0.23,0.683,0.317,0.954,0.919,2.6,3.17
New Mexico,2115877,834007,0.352,0.1275,23596,49712,0.301,0.079,0.033,0.003,0.534,0.364,0.091,0.688,0.312,0.933,0.843,2.49,3.15
New York,19835913,7652666,0.3875,0.091,213704,380778,0.399,0.039,0.015,0.005,0.63,0.121,0.223,0.7,0.3,0.943,0.904,2.52,3.2
North Carolina,10551162,4179632,0.33,0.106,119762,193536,0.349,0.076,0.032,0.004,0.542,0.362,0.082,0.876,0.124,0.943,0.889,2.46,3.07
North Dakota,774948,322511,0.337,0.098,11610,6540,0.317,0.069,0.049,0.003,0.623,0.323,0.044,0.93,0.07,0.943,0.881,2.33,3.02
Ohio,11780017,4832922,0.3345,0.119,135627,197187,0.307,0.068,0.016,0.003,0.749,0.191,0.05,0.924,0.076,0.936,0.889,2.38,3
